iter	Passed	Remaining
0	186	186237
1	188	94049
2	190	63249
3	192	48046
4	199	39783
5	201	33399
6	202	28786
7	204	25304
8	205	22588
9	206	20423
10	208	18728
11	209	17260
12	210	15992
13	211	14908
14	212	13964
15	214	13202
16	215	12477
17	216	11821
18	217	11244
19	218	10720
20	219	10244
21	220	9808
22	221	9408
23	222	9042
24	223	8711
25	226	8468
26	228	8222
27	229	7961
28	230	7712
29	231	7480
30	232	7259
31	233	7050
32	233	6854
33	234	6671
34	235	6497
35	236	6333
36	238	6204
37	240	6094
38	242	5963
39	243	5840
40	244	5719
41	245	5599
42	246	5484
43	247	5382
44	249	5285
45	250	5186
46	257	5211
47	258	5124
48	259	5043
49	262	4989
50	264	4913
51	265	4832
52	265	4752
53	266	4673
54	267	4599
55	268	4526
56	269	4456
57	270	4388
58	271	4322
59	272	4274
60	275	4242
61	277	4192
62	278	4138
63	279	4082
64	280	4030
65	281	3979
66	282	3929
67	282	3874
68	283	3825
69	284	3778
70	285	3731
71	286	3686
72	290	3693
73	292	3655
74	293	3616
75	294	3578
76	295	3538
77	296	3499
78	296	3461
79	297	3424
80	298	3387
81	299	3352
82	300	3317
83	301	3283
84	302	3258
85	304	3238
86	305	3207
87	307	3181
88	307	3151
89	308	3122
90	309	3092
91	310	3064
92	311	3036
93	312	3008
94	312	2981
95	313	2954
96	314	2929
97	315	2904
98	317	2890
99	319	2878
100	320	2856
101	321	2829
102	322	2806
103	323	2783
104	323	2760
105	324	2738
106	325	2717
107	326	2696
108	327	2675
109	328	2655
110	329	2635
111	330	2616
112	331	2599
113	333	2590
114	334	2573
115	335	2554
116	336	2536
117	336	2518
118	337	2499
119	338	2481
120	339	2464
121	340	2447
122	340	2428
123	341	2411
124	342	2395
125	343	2379
126	343	2364
127	344	2346
128	345	2331
129	346	2320
130	348	2311
131	349	2298
132	350	2284
133	351	2270
134	352	2256
135	353	2242
136	353	2229
137	354	2214
138	355	2201
139	356	2188
140	357	2175
141	358	2163
142	358	2150
143	359	2138
144	360	2126
145	362	2117
146	363	2107
147	364	2096
148	365	2085
149	366	2074
150	366	2063
151	367	2051
152	368	2040
153	369	2029
154	370	2018
155	371	2008
156	372	1997
157	372	1987
158	373	1976
159	374	1966
160	375	1956
161	376	1949
162	378	1941
163	379	1932
164	380	1923
165	380	1914
166	381	1905
167	383	1898
168	384	1890
169	385	1883
170	386	1874
171	387	1865
172	388	1856
173	389	1847
174	390	1838
175	391	1834
176	392	1825
177	393	1817
178	394	1808
179	395	1800
180	395	1790
181	396	1782
182	397	1775
183	398	1766
184	399	1759
185	400	1751
186	401	1743
187	401	1735
188	402	1728
189	403	1720
190	404	1712
191	405	1705
192	406	1699
193	407	1692
194	408	1685
195	409	1678
196	409	1671
197	410	1663
198	411	1656
199	412	1649
200	413	1642
201	414	1636
202	414	1629
203	415	1622
204	416	1615
205	417	1609
206	418	1602
207	419	1595
208	419	1589
209	421	1584
210	422	1578
211	422	1571
212	423	1565
213	424	1559
214	425	1553
215	426	1547
216	427	1541
217	427	1535
218	428	1529
219	429	1523
220	430	1517
221	431	1511
222	432	1505
223	432	1499
224	433	1493
225	434	1488
226	435	1482
227	436	1477
228	437	1471
229	437	1466
230	438	1460
231	439	1455
232	440	1449
233	441	1444
234	442	1439
235	442	1433
236	443	1428
237	444	1423
238	445	1418
239	446	1413
240	447	1408
241	447	1403
242	448	1398
243	449	1393
244	450	1388
245	451	1383
246	452	1378
247	453	1373
248	453	1369
249	454	1364
250	455	1359
251	456	1354
252	457	1350
253	458	1345
254	458	1340
255	459	1336
256	460	1331
257	461	1327
258	462	1322
259	463	1318
260	463	1313
261	464	1309
262	465	1304
263	466	1300
264	467	1296
265	468	1292
266	469	1287
267	469	1283
268	470	1279
269	471	1275
270	472	1271
271	473	1266
272	474	1262
273	475	1258
274	475	1254
275	476	1250
276	477	1246
277	478	1242
278	479	1238
279	480	1234
280	481	1231
281	481	1227
282	482	1223
283	483	1219
284	484	1215
285	485	1211
286	486	1207
287	487	1204
288	487	1200
289	488	1196
290	489	1193
291	490	1189
292	491	1185
293	492	1182
294	493	1178
295	493	1174
296	494	1171
297	495	1167
298	496	1164
299	497	1160
300	498	1156
301	499	1153
302	499	1149
303	500	1146
304	501	1143
305	502	1140
306	503	1136
307	504	1133
308	505	1129
309	506	1126
310	506	1122
311	507	1119
312	508	1116
313	509	1113
314	510	1109
315	511	1106
316	512	1103
317	512	1100
318	513	1096
